"mine","mine_type","metals","country","region","location","latitude","longitude","impactID","affected_system","affected_component","affected_factor","impact.description","comment","stage","focus","contaminant","est_significance","impact_direction","mitigationID","mitigation","mitigation_description","citation","year","link"
"ISUA Iron Ore","Open pit","Iron","Greenland","Nuuk ","150 km NW of Nuuk ",65.50312849,-50.33983198,"E6C1","5-Societies","5B-Economic","5B-Jobs","Increase in job posts","Approximately 210-430 jobs from contract packages for local operators.","construction","Local community",NA,"Medium","Positive","E6M1","Yes","SIK has prepared proposals for training initiatives for the mining and oil sector. nformation on contract packages to be tendered locally made public and provided to Greenland authorities, local companies and employers and employees organizations in at least 3 opportunities","NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf",2013,"https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf"
"ISUA Iron Ore","Open pit","Iron","Greenland","Nuuk ","150 km NW of Nuuk ",65.50312849,-50.33983198,"E6C1","5-Societies","5B-Economic","5B-Jobs","Increase in job posts","Approximately 210-430 jobs from contract packages for local operators.","construction","Local community",NA,"Medium","Positive","E6M2","Yes","Information on contract packages to be tendered locally made public and provided to Greenland authorities, local companies and employers and employees organizations in at least 3 opportunities","NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf",2013,"https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf"
"ISUA Iron Ore","Open pit","Iron","Greenland","Nuuk ","150 km NW of Nuuk ",65.50312849,-50.33983198,"E6C1","5-Societies","5B-Economic","5B-Jobs","Increase in job posts","Approximately 210-430 jobs from contract packages for local operators.","construction","Local community",NA,"Medium","Positive","E6M3","Yes","Information meetings with Greenland authorities, local companies and employer’s organizations in order to inform on the contract packages to be tendered to local companies.","NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf",2013,"https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf"
"ISUA Iron Ore","Open pit","Iron","Greenland","Nuuk ","150 km NW of Nuuk ",65.50312849,-50.33983198,"E6C1","5-Societies","5B-Economic","5B-Jobs","Increase in job posts","Approximately 210-430 jobs from contract packages for local operators.","construction","Local community",NA,"Medium","Positive","E6M4","Yes","Request reporting of % of local workers among the staff in the tender offers","NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf",2013,"https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf"
"ISUA Iron Ore","Open pit","Iron","Greenland","Nuuk ","150 km NW of Nuuk ",65.50312849,-50.33983198,"E6C2","5-Societies","5B-Economic","5B-Jobs","20% of local workers from the first 5 years of operation","From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.","operation","Local community",NA,"Medium","Positive","E6M1","Yes","Administrative focus on improving employability of Greenlanders in the extractive sector. ","NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf",2013,"https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf"
"ISUA Iron Ore","Open pit","Iron","Greenland","Nuuk ","150 km NW of Nuuk ",65.50312849,-50.33983198,"E6C2","5-Societies","5B-Economic","5B-Jobs","20% of local workers from the first 5 years of operation","From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.","operation","Local community",NA,"Medium","Positive","E6M2","Yes","Training course at the School of Minerals and Petroleum","NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf",2013,"https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf"
"ISUA Iron Ore","Open pit","Iron","Greenland","Nuuk ","150 km NW of Nuuk ",65.50312849,-50.33983198,"E6C2","5-Societies","5B-Economic","5B-Jobs","20% of local workers from the first 5 years of operation","From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.","operation","Local community",NA,"Medium","Positive","E6M3","Yes","Early implementation of a Human Resources (HR) Division, when construction permit is granted, with HR staff dedicated to implementation of recruitment campaigns and contact with candidates in Greenland. Initially, this can be supported by a locally based headhunting or HR development company.","NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf",2013,"https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf"
"ISUA Iron Ore","Open pit","Iron","Greenland","Nuuk ","150 km NW of Nuuk ",65.50312849,-50.33983198,"E6C2","5-Societies","5B-Economic","5B-Jobs","20% of local workers from the first 5 years of operation","From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.","operation","Local community",NA,"Medium","Positive","E6M4","Yes","Extend recruiting campaign to Greenlandic people currently based in Denmark. While Greenlanders in Denmark read Greenland newspapers, use internet and are informed about job opportunities, arrangement for providing additional information or making interviews in Denmark could be of advantage. ","NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf",2013,"https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf"
"ISUA Iron Ore","Open pit","Iron","Greenland","Nuuk ","150 km NW of Nuuk ",65.50312849,-50.33983198,"E6C2","5-Societies","5B-Economic","5B-Jobs","20% of local workers from the first 5 years of operation","From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.","operation","Local community",NA,"Medium","Positive","E6M5","Yes","Prepare a detailed job description for each of the job positions, and their corresponding requirements. ","NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf",2013,"https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf"
"ISUA Iron Ore","Open pit","Iron","Greenland","Nuuk ","150 km NW of Nuuk ",65.50312849,-50.33983198,"E6C2","5-Societies","5B-Economic","5B-Jobs","20% of local workers from the first 5 years of operation","From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.","operation","Local community",NA,"Medium","Positive","E6M6","Yes","Pro-active and early communication with the Labour Unions, Professional associations and Municipal Job Centres on basic requirements to be filled by aspirants to jobs at ISUA, so they can upgrade the qualifications of these associates and clients interested in jobs at ISUA. ","NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf",2013,"https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf"
