reviewer,docID,citation,year,link,mine_type,metals,country,region,location,mine,latitude,longitude,impactID,mitigationID,affected_system,affected_component,affected_factor,impact description,comment,stage_prospecting,stage_exploration,stage_construction,stage_operation,stage_expansion,stage_decommissioning_closure,stage_postclosure,stage_remediation,stage_abandonment,stage_comment,focus,contaminant,est_significance,impact_direction,impact_info_source,mitigation,mitigation_description,mitigation_info_source
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C1,E6M1,5-Societies,5B-Economic,5B-Jobs,Increase in job posts,Approximately 210-430 jobs from contract packages for local operators.,,,Y,NS,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170,172",Yes,"SIK has prepared proposals for training initiatives for the mining and oil sector. nformation on contract packages to be tendered locally made public and provided to Greenland authorities, local companies and employers and employees organizations in at least 3 opportunities",Page 172
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C1,E6M2,5-Societies,5B-Economic,5B-Jobs,Increase in job posts,Approximately 210-430 jobs from contract packages for local operators.,,,Y,NS,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170,173",Yes,"Information on contract packages to be tendered locally made public and provided to Greenland authorities, local companies and employers and employees organizations in at least 3 opportunities",Page 172
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C1,E6M3,5-Societies,5B-Economic,5B-Jobs,Increase in job posts,Approximately 210-430 jobs from contract packages for local operators.,,,Y,NS,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170,174",Yes,"Information meetings with Greenland authorities, local companies and employer’s organizations in order to inform on the contract packages to be tendered to local companies.",Page 172
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C1,E6M4,5-Societies,5B-Economic,5B-Jobs,Increase in job posts,Approximately 210-430 jobs from contract packages for local operators.,,,Y,NS,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170,175",Yes,Request reporting of % of local workers among the staff in the tender offers,Page 172
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C2,E6M1,5-Societies,5B-Economic,5B-Jobs,20% of local workers from the first 5 years of operation,"From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.",,,NS,Y,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 172",Yes,Administrative focus on improving employability of Greenlanders in the extractive sector. ,Page 172
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C2,E6M2,5-Societies,5B-Economic,5B-Jobs,20% of local workers from the first 5 years of operation,"From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.",,,NS,Y,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 172",Yes,Training course at the School of Minerals and Petroleum,Page 172
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C2,E6M3,5-Societies,5B-Economic,5B-Jobs,20% of local workers from the first 5 years of operation,"From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.",,,NS,Y,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 172",Yes,"Early implementation of a Human Resources (HR) Division, when construction permit is granted, with HR staff dedicated to implementation of recruitment campaigns and contact with candidates in Greenland. Initially, this can be supported by a locally based headhunting or HR development company.",Page 172
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C2,E6M4,5-Societies,5B-Economic,5B-Jobs,20% of local workers from the first 5 years of operation,"From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.",,,NS,Y,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 172",Yes,"Extend recruiting campaign to Greenlandic people currently based in Denmark. While Greenlanders in Denmark read Greenland newspapers, use internet and are informed about job opportunities, arrangement for providing additional information or making interviews in Denmark could be of advantage. ",Page 172
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C2,E6M5,5-Societies,5B-Economic,5B-Jobs,20% of local workers from the first 5 years of operation,"From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.",,,NS,Y,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 172",Yes,"Prepare a detailed job description for each of the job positions, and their corresponding requirements. ",Page 172
JJT/BM,E6,NAGrontmij A/S (2013) Social Impact Assessment for the ISUA Iron Ore Project for London Mining Greenland A/S. https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,2013,https://naalakkersuisut.gl/~/media/Nanoq/Files/Attached%20Files/Raastof/Hoeringer/ISUA%202012/SIA%20London%20Mining%20final%20march%202013.pdf,Open pit,Iron,Greenland,Nuuk ,150 km NW of Nuuk ,ISUA Iron Ore,65.50312849,-50.33983198,E6C2,E6M6,5-Societies,5B-Economic,5B-Jobs,20% of local workers from the first 5 years of operation,"From the first 5 years of the operation phase estimated a workforce of approximately 20%local workers at ISUA, mainly for non-mining processing jobs during the first 5 years.",,,NS,Y,NS,NS,NS,,NS,,Local community,NA,Medium,Positive,"Page 170, 172",Yes,"Pro-active and early communication with the Labour Unions, Professional associations and Municipal Job Centres on basic requirements to be filled by aspirants to jobs at ISUA, so they can upgrade the qualifications of these associates and clients interested in jobs at ISUA. ",Page 172
